Short Label Question,Attributes,Audience %,Data point %,Universe,Index,Responses
Importance of Vacations,Not important - other things matter a lot more to me,0.8,0.1,55780,20.0,1
Importance of Vacations,A little important - but other things are more important to me,4.6,0.1,332430,19.5,7
Importance of Vacations,Quite important - I look forward to them,18.2,0.2,1326652,55.7,23
Importance of Vacations,Very important - they are one of my highlights,40.8,0.8,2981307,191.1,55
Importance of Vacations,Extremely important - they are my highlight of the year,34.1,1.4,2488152,315.7,45
New Versus Previous Destinations,Take a vacation somewhere new,76.4,0.5,5575722,112.6,100
New Versus Previous Destinations,Take a vacation somewhere I've been before,22.0,0.4,1608600,91.1,31
Business Travel Attitudes,I choose accommodation / flights to get loyalty points,21.4,1.0,1563006,218.3,29
Business Travel Attitudes,I often build in extra days to my trip for leisure,6.9,0.3,506343,73.1,10
Business Travel Attitudes,I prefer eating at the hotel / place I'm staying at,7.0,0.2,510130,49.5,10
Business Travel Attitudes,"I see business travel as a perk, rather than a necessity",15.8,0.7,1149969,149.2,20
Business Travel Attitudes,I often travel to the same place for work,12.6,0.6,917551,133.8,18
Business Travel Attitudes,Business trips are one of the reasons I do my job,10.2,0.4,747260,93.4,13
Business Travel Attitudes,I am likely to travel less frequently for work in the future,9.7,0.4,706566,96.4,13
Business Travel Attitudes,I like to explore the place I travel to,23.3,0.7,1698814,152.4,31
Business Travel Attitudes,I like to understand the local culture of where I travel to,11.8,0.5,860191,104.4,17
Business Travel Attitudes,None of these,0.0,0.0,0,0.0,0
Eco & Experience Attitudes,I actively look to limit the environmental impact of my travel,29.8,0.4,2174624,94.0,34
Eco & Experience Attitudes,I am more likely to pick a travel provider with a good sustainability / environmental policy,31.2,0.4,2277123,94.5,40
Eco & Experience Attitudes,"I try to use local providers for services (e.g. tours, accommodation)",43.2,0.5,3152740,114.1,62
Eco & Experience Attitudes,I try to visit non-touristy destinations,32.0,0.6,2333775,139.6,45
Eco & Experience Attitudes,I use local transport as much as possible,35.2,0.4,2569646,94.5,45
Eco & Experience Attitudes,None of these,15.2,0.8,1106227,191.8,20
Concern Over Carbon Footprint,Not at all concerned,17.5,0.8,1280255,190.0,24
Concern Over Carbon Footprint,Not very concerned,34.7,0.6,2536095,129.0,48
Concern Over Carbon Footprint,Quite concerned,25.2,0.4,1840431,84.5,32
Concern Over Carbon Footprint,Very concerned,13.0,0.3,948747,75.3,15
Concern Over Carbon Footprint,Extremely concerned,7.9,0.4,578794,90.9,12
Reasons for Not Traveling,I don't have anyone to go with,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I don't have the time,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I'm not interested,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I'm worried about my safety,1.6,1.0,114532,231.7,1
Reasons for Not Traveling,It's too expensive,1.6,0.3,114532,63.6,1
Reasons for Not Traveling,It's too much to organise,0.0,0.0,0,0.0,0
Reasons for Not Traveling,The impact on the environment,0.0,0.0,0,0.0,0
Reasons for Not Traveling,None of these,0.0,0.0,0,0.0,0
Purchase Influences,Ads you've heard on the radio,2.8,0.3,201720,58.7,3
Purchase Influences,Ads you've seen in magazines,17.9,0.9,1308415,201.4,24
Purchase Influences,Ads you've seen on billboards / posters,6.0,0.4,438428,82.1,7
Purchase Influences,Ads you've seen online,30.0,0.7,2188991,151.8,38
Purchase Influences,Ads you've seen on public transport,4.7,0.3,339906,76.9,5
Purchase Influences,Ads you've seen on social media,24.3,0.5,1772233,121.1,28
Purchase Influences,Ads you've seen on TV,33.3,0.9,2432881,211.5,42
Purchase Influences,Deals from travel websites / apps / agencies,34.3,0.6,2504882,145.9,45
Purchase Influences,Movies,12.7,0.5,930299,123.3,16
Purchase Influences,Previous vacations you've been on,57.7,1.3,4212310,295.5,80
Purchase Influences,Recommendations from friends / family,66.5,0.8,4851597,172.6,85
Purchase Influences,Recommendations from my children,12.8,0.7,931256,148.7,17
Purchase Influences,Social media posts / photos by celebrities / influencers / content creators,19.3,0.5,1408360,104.0,23
Purchase Influences,Social media posts / photos by friends / family,31.1,0.6,2269276,127.8,38
Purchase Influences,Travel blogs or discussion forums,21.7,0.5,1584136,122.8,29
Purchase Influences,TV series / travel programs,31.5,0.8,2297595,177.0,41
Purchase Influences,None of these,4.1,0.3,298605,76.9,6
Purchase Sources of Information,Brochures,8.0,0.4,581250,85.3,10
Purchase Sources of Information,Consumer review sites,28.2,0.6,2061889,130.9,37
Purchase Sources of Information,In-person conversations with friends / family,46.8,0.7,3412348,158.3,65
Purchase Sources of Information,Online forums / message boards,14.2,0.5,1038605,114.4,18
Purchase Sources of Information,Price comparison websites,28.8,0.7,2101584,162.2,37
Purchase Sources of Information,Search engines,65.2,0.9,4755551,197.7,84
Purchase Sources of Information,Social media,25.8,0.4,1884801,90.5,32
Purchase Sources of Information,Tourist board websites,20.2,0.6,1471998,135.5,26
Purchase Sources of Information,Travel agents,13.3,0.4,973965,90.4,17
Purchase Sources of Information,Travel blogs,15.1,0.4,1102549,85.0,20
Purchase Sources of Information,"Travel booking sites / apps (e.g. Expedia, Booking.com, Airbnb, Trip.com, Qunar, fliggy.com)",53.9,0.7,3936074,163.1,68
Purchase Sources of Information,Travel books,15.0,0.6,1091319,127.1,20
Purchase Sources of Information,"Travel provider sites / apps (e.g. directly at the airline, hotel)",48.0,1.0,3504682,234.3,64
Purchase Sources of Information,None of these,2.5,0.3,184129,76.5,5
Most Important Purchase Sources of Information,Brochures,0.0,0.0,0,0.0,0
Most Important Purchase Sources of Information,Consumer review sites,4.6,0.3,338951,62.5,5
